0.15	1.8	bite
3.4499999999999997	4.5	bite
4.8	5.3999999999999995	bite
5.7	6.8999999999999995	bite
6.8999999999999995	7.6499999999999995	bite
7.6499999999999995	8.85	bite
9.6	10.5	bite
10.65	11.25	bite
11.25	12.3	chewbite
12.299999999999999	13.200000000000001	chewbite
13.2	14.25	chewbite
14.25	15.15	chew
15.149999999999999	16.2	chewbite
16.2	16.8	chew
17.099999999999998	18.0	chewbite
18.0	18.9	chew
18.9	19.8	chewbite
19.8	20.55	chew
20.7	21.6	chew
21.45	22.5	chewbite
22.5	23.55	chewbite
23.55	24.45	chewbite
24.45	25.5	chew
25.349999999999998	26.4	chewbite
26.25	27.15	chew
27.15	28.2	chew
28.05	29.25	chewbite
29.25	30.15	chew
30.15	31.05	chewbite
31.049999999999997	31.95	chew
32.1	32.99999999999999	chewbite
33.0	33.9	chew
34.199999999999996	35.099999999999994	chew
35.1	35.99999999999999	chew
36.0	37.199999999999996	chewbite
37.199999999999996	39.9	chew
39.9	40.8	chewbite
40.8	41.99999999999999	chewbite
42.0	42.9	chew
42.9	43.8	chew
43.8	44.849999999999994	chewbite
44.85	45.74999999999999	chew
45.75	46.8	chewbite
46.949999999999996	47.849999999999994	chew
47.85	48.9	chewbite
48.9	50.099999999999994	bite
50.1	50.849999999999994	chew
50.85	51.9	chewbite
51.9	53.699999999999996	chewbite
53.699999999999996	54.74999999999999	chew
54.75	55.65	chewbite
55.65	56.55	chewbite
56.55	57.599999999999994	chew
57.599999999999994	58.64999999999999	chewbite
58.949999999999996	60.74999999999999	chew
60.9	61.8	chewbite
61.949999999999996	62.699999999999996	chewbite
62.849999999999994	63.74999999999999	chewbite
63.75	64.8	chewbite
64.64999999999999	65.55	chew
65.55	67.35	chew
67.35	68.55	chewbite
68.55	69.44999999999999	chew
69.6	71.39999999999999	chew
71.25	72.3	chewbite
72.3	74.25	chewbite
74.25	75.3	chewbite
75.14999999999999	76.05	chew
76.05	76.94999999999999	chew
76.95	78.0	chewbite
77.85	78.75	chew
78.75	79.8	chewbite
79.8	80.85	chewbite
80.85	82.05	chew
81.89999999999999	82.5	bite
82.64999999999999	83.69999999999999	chew
83.85	85.8	chew
85.8	88.8	chew
88.8	89.85	chew
90.14999999999999	91.05	chew
91.05	92.1	chew
92.1	93.0	chew
93.0	93.89999999999999	chew
93.89999999999999	94.94999999999999	chew
96.0	97.05	chew
97.05	98.1	chew
98.1	99.14999999999999	chew
99.3	100.19999999999999	chew
100.2	102.14999999999999	chew
102.14999999999999	103.19999999999999	chew
