0.0	1.05	bite
2.25	3.3	bite
3.9	4.949999999999999	bite
5.25	7.05	chew
7.05	7.949999999999999	chew
7.949999999999999	8.85	chew
8.7	9.6	chewbite
9.6	10.65	chewbite
10.5	11.4	chew
11.4	12.3	chew
12.299999999999999	13.35	chewbite
13.35	14.1	chew
14.1	15.0	chew
15.149999999999999	16.05	bite
16.2	17.1	chewbite
16.95	17.85	chew
17.849999999999998	18.75	chew
19.65	20.7	chew
21.15	22.2	chewbite
22.2	24.45	chew
24.9	25.8	chewbite
25.8	27.3	chew
27.45	28.5	chewbite
28.349999999999998	29.099999999999998	chew
29.099999999999998	30.15	chewbite
30.45	31.05	chew
31.65	32.699999999999996	chew
32.699999999999996	33.599999999999994	chew
33.75	34.8	chew
34.8	36.9	chew
36.9	39.9	chew
40.199999999999996	41.24999999999999	chew
41.25	42.15	chew
42.15	45.9	chew
46.05	47.099999999999994	chew
47.25	48.15	chew
48.15	49.199999999999996	chew
49.199999999999996	50.24999999999999	chew
